st_teff,pl_eqt,pl_rade,pl_orbsmax
5595.0,1251.0,14.448401,0.0583
6145.0,387.9,12.419572,0.753
5597.0,206.0,9.180171,2.026
6148.0,938.0,2.213,0.1029
5731.0,651.0,5.02,0.197
5100.0,243.0,3.87,0.633
4884.0,134.4,10.16,1.883
5781.0,1570.0,14.68,0.02591
5781.0,1712.0,14.68379,0.02605
5746.0,253.8,11.94877343,2.027
6104.0,1299.0,0.853,0.0758
5541.0,851.0,2.209,0.0846
5495.0,1187.0,1.773,0.04565
5495.0,1105.0,1.868,0.0463
5455.0,1014.0,1.91,0.04537
5455.0,713.0,3.07,0.093
5495.0,772.0,3.047,0.0949
5495.0,828.0,2.894,0.0936
5495.0,401.0,2.744,0.3506
5455.0,369.0,2.75,0.3453
5495.0,430.0,2.606,0.3474
5495.0,1004.0,0.821,0.0637
5495.0,681.0,0.952,0.1387
6305.0,2025.0,1.639,0.0427172
6131.0,1956.0,1.6354,0.042507
6305.0,2015.0,1.639,0.0434
5596.0,279.0,2.1,0.812
5518.0,262.0,2.38,0.849
6004.0,1838.0,1.381,0.02778
6004.0,1431.0,1.57,0.0458
5911.0,978.0,1.486,0.1153
5911.0,928.0,3.679,0.1283
5357.0,718.0,0.3098,0.1019
5357.0,615.0,0.755,0.139
5357.0,499.0,2.03,0.2109
5623.0,475.0,4.3,0.4632
6260.0,851.0,12.240228,0.1539
6260.0,905.0,13.68,0.155
6350.0,897.0,13.9,0.164
5857.0,1620.0,4.124912,0.0449
5857.0,1650.0,4.002,0.0456
6510.0,1620.0,13.11,0.08
6510.0,1744.0,16.14096,0.0802
6510.0,1666.0,14.23543,0.0795
5421.0,438.0,1.199,0.3192
5660.0,1554.0,9.550068,0.02895
5750.0,1790.0,14.46,0.03101
5620.0,1770.0,11.65736,0.02396
5620.0,1730.0,9.98,0.03
5750.0,1850.0,15.031269,0.02897
5560.0,1605.0,13.361,0.03585
5170.0,1070.0,10.962,0.0464
5725.0,1300.0,12.22,0.0414
5800.0,1100.0,13.79,0.091
5150.0,1070.0,12.11,0.0433
6041.0,1603.0,12.498035,0.044
6050.0,1628.0,13.0,0.0444
6041.0,1620.0,13.663771,0.046
6041.0,1637.0,13.45,0.0449
6360.0,1776.0,16.25,0.0679
5977.0,1000.0,12.67,0.1143
6161.0,1729.0,22.31,0.0948
5757.0,1603.0,13.9,0.0455
5800.0,1544.0,12.22,0.0446
5757.0,1568.0,13.4508,0.0457
3820.0,1000.0,10.76,0.03
3820.0,787.0,11.197791,0.02954
5687.0,916.0,2.37,0.09528
5155.0,543.0,9.057,0.1968
6297.0,1868.0,16.04,0.05064
6297.0,1750.0,15.984034,0.0538
6297.0,1692.0,13.56289,0.04967
6018.0,543.0,7.1,0.2514
6018.0,439.0,9.0,0.384
6018.0,381.0,9.7,0.509
5547.0,380.0,2.215,0.4669
5534.0,417.0,2.215,0.3554
5820.0,387.6,8.373123,0.4988
5191.0,1089.0,4.74139884,0.04766
5191.0,251.0,11.57887706,0.898
5647.0,1500.0,14.83,0.04567
5647.0,1451.0,13.103321,0.04438
5647.0,1460.0,14.616536,0.04852
4925.0,750.0,1.31,0.0553
4925.0,578.0,0.54,0.0929
4925.0,510.0,1.95,0.12
4925.0,270.0,1.61,0.427
4925.0,208.0,1.41,0.718
5847.0,1275.0,2.357,0.06135
5793.0,1280.0,2.31,0.0617
5847.0,1052.0,0.979,0.09008
5933.0,1540.0,16.567,0.06224
5933.0,1619.0,18.483641,0.06324
5933.0,1630.0,18.180998,0.06067
5933.0,1621.0,17.956818,0.0613
6000.0,1078.0,10.76,0.0781
6050.0,1250.0,14.8,0.084
5330.0,850.0,11.55,0.08
5200.0,767.0,11.77,0.0818
6409.0,2140.0,15.24424,0.0274
5520.0,1440.0,10.761,0.04501
5058.0,2223.0,1.201,0.00901
6213.0,1764.0,15.906,0.0483
